Title,trackId,Popularity,Artist,artistId,Top Year,Genre,Speechiness,Acousticness,Liveness,Danceability,Energy,Loudness,Valence,Duration,BPM,ImageURL,SpotifyURL,Release Date
Rude Boy,60jzFy6Nn4M0iD1d94oteF,75,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,2010,barbadian pop,0.127,0.113,0.0788,0.563,0.75,-4.496,0.812,222920,173.906,https://i.scdn.co/image/ab67616d0000b273ab647295c0c97446c1f1a3b5,https://open.spotify.com/track/60jzFy6Nn4M0iD1d94oteF,2009
This Ain't a Love Song,2tNE4DP5nL85XUJv1glO0a,49,Scouting For Girls,2wpJOPmf1TIOzrB9mzHifd,2010,dance pop,0.0451,0.000431,0.378,0.458,0.905,-4.157,0.553,210680,176.667,https://i.scdn.co/image/ab67616d0000b273d8f774b6f54ad165d4d2ebf9,https://open.spotify.com/track/2tNE4DP5nL85XUJv1glO0a,2010
Dancing On My Own - Radio Edit,7g13jf3zqlP5S68Voo5v9m,59,Robyn,6UE7nl9mha6s8z0wFQFIZ2,2010,art pop,0.0342,0.00202,0.127,0.573,0.926,-6.045,0.219,278080,117.047,https://i.scdn.co/image/ab67616d0000b273b4375effb23372cc8cff5045,https://open.spotify.com/track/7g13jf3zqlP5S68Voo5v9m,2010
Young Forever,35srNkJVToAzYiZzron1FY,66,JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,2010,east coast hip hop,0.0693,0.417,0.211,0.637,0.69,-3.214,0.103,253907,140.329,https://i.scdn.co/image/ab67616d0000b273fec1b815bb3c50a64a90fd10,https://open.spotify.com/track/35srNkJVToAzYiZzron1FY,2009
Live Like We're Dying,1HfxPaJggVwFsvOtHbVzMz,53,Kris Allen,2zwHaEmXxX6DTv4i8ajNCM,2010,acoustic pop,0.0397,0.0273,0.343,0.589,0.893,-2.948,0.94,212507,92.011,https://i.scdn.co/image/ab67616d0000b273f5cf5da2c28dbb1813257541,https://open.spotify.com/track/1HfxPaJggVwFsvOtHbVzMz,2009
Telephone,4TCL0qqKyqsMZml0G3M9IM,72,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,2010,art pop,0.0404,0.00521,0.112,0.824,0.836,-5.903,0.716,220640,122.014,https://i.scdn.co/image/ab67616d0000b2735c9890c0456a3719eeecd8aa,https://open.spotify.com/track/4TCL0qqKyqsMZml0G3M9IM,2009
If We Ever Meet Again (Featuring Katy Perry),360UM2DaiHZPRu0EsrOvMp,68,Timbaland,5Y5TRrQiqgUO4S36tzjIRZ,2010,dance pop,0.0393,0.00481,0.0605,0.652,0.605,-7.371,0.394,292707,126.091,https://i.scdn.co/image/ab67616d0000b27384dfebb7e9c44520e69482de,https://open.spotify.com/track/360UM2DaiHZPRu0EsrOvMp,2009
DJ Got Us Fallin' In Love (feat. Pitbull),4356Typ82hUiFAynbLYbPn,78,Usher,23zg3TcAtWQy7J6upgbUnj,2010,atl hip hop,0.109,0.0338,0.082,0.663,0.861,-3.398,0.654,220800,119.963,https://i.scdn.co/image/ab67616d0000b27386b0c9728ad3ed338eaeea79,https://open.spotify.com/track/4356Typ82hUiFAynbLYbPn,2010
King of Anything,3VA8T3rNy5V24AXxNK5u9E,60,Sara Bareilles,2Sqr0DXoaYABbjBo9HaMkM,2010,acoustic pop,0.0351,0.461,0.0574,0.676,0.762,-4.172,0.81,207493,119.003,https://i.scdn.co/image/ab67616d0000b2733fa3caf3da101e3cd28a53a6,https://open.spotify.com/track/3VA8T3rNy5V24AXxNK5u9E,2010
Fireflies,3DamFFqW32WihKkTVlwTYQ,78,Owl City,07QEuhtrNmmZ0zEcqE9SF6,2010,indietronica,0.0439,0.0275,0.118,0.512,0.662,-6.797,0.472,228347,180.114,https://i.scdn.co/image/ab67616d0000b273785d4e702802da500fc78b32,https://open.spotify.com/track/3DamFFqW32WihKkTVlwTYQ,2009
